"","G69157","HV-1","LDK_9","A72_02_1FE"
"Prevotellaceae",0,1.09447,80.47146,52.32392
"Lachnospiraceae",3.50248,39.42856,6.7683,21.278
"Coprobacillaceae",0,0.00243,0.0832,1.44539
"Bifidobacteriaceae",47.90936,0.0827,3.86302,0
"Oscillospiraceae",4.84302,4.24984,2.22584,7.22876
"Coriobacteriaceae",4.11899,0.00884,1.52706,2.15832
"Treponemataceae",0,0,0,1.43821
"Lactobacillaceae",8.6328,0,3.26977,0.21566
"Eubacteriaceae",0.15194,34.16073,0.63687,0.68388
"Acidaminococcaceae",0,0.05904,0,0.3669
"Erysipelotrichaceae",0.28762,0.45267,0.07548,0.88813
"Bacteroidaceae",15.45425,17.58032,0.09519,0.44021
"Methanobacteriaceae",0,0,0,2.40189
"Clostridiaceae",0,0.06404,0.06352,0.17232
"Selenomonadaceae",0,0,0.1655,0
"Eggerthellaceae",2.4983,0,0.14776,0.24175
"Turicibacteraceae",0,0.84303,0.02455,0.13485
"Streptococcaceae",0.95509,0.11134,0.21093,0.05246
"Enterobacteriaceae",0.54112,0,0.02238,5.45399
"Peptostreptococcaceae",0.00638,0.83342,0.00245,0.2154
"Succinivibrionaceae",0,0,0,0.33182
"Desulfovibrionaceae",0,0,0,0.11124
"Odoribacteraceae",0.20863,0.00335,0,0
"Brachyspiraceae",0,0,0,1.38433
"Rikenellaceae",0.27709,0.16331,0,0
"Tannerellaceae",0,0.44156,0,0.00628
"Atopobiaceae",0.00122,0,0,0.01155
"Blastocystidae",0,0,0,0
"Micrococcaceae",0,0,0,0
"Veillonellaceae",0.03963,0.03275,0.14005,0.05677
"Pasteurellaceae",0.07654,0.18427,0.01967,0.03537
"Barnesiellaceae",0.31036,0.00174,0,0
"Sutterellaceae",0.11353,0,0.06094,0
"Akkermansiaceae",0.24737,0,0,0
"Actinomycetaceae",0.40675,0.01625,0,0.00357
"Corynebacteriaceae",0.00402,0,0,0
"Enterococcaceae",9.21869,0,0,0
"Neisseriaceae",0,0,0,0
"Burkholderiaceae",0,0,0,0
"Comamonadaceae",0,0,0,0
"Victivallaceae",0,0,0,0
"Synergistaceae",0,0,0,0.00124
"Propionibacteriaceae",0,0,0,0.00254
"Campylobacteraceae",0,0,0,0
"Saccharomycetaceae",0,0,0.05823,0
"Candidatus Methanomethylophilaceae",0,0,0,0
"Eubacteriales Family XIII. Incertae Sedis",0.01501,0,0,0.19586
"Porphyromonadaceae",0,0,0,0
"Fusobacteriaceae",0,0.15405,0,0
"Pseudomonadaceae",0,0,0,0
"Nocardiaceae",0,0,0,0
"Tropherymataceae",0,0,0,0
"Aerococcaceae",0,0,0,0
"Carnobacteriaceae",0,0,0,0
"Peptoniphilaceae",0,0,0,0
"Kytococcaceae",0,0,0,0
"Leptotrichiaceae",0,0,0,0
"Alcaligenaceae",0,0,0,0
"Brevibacteriaceae",0,0,0,0
"Gordoniaceae",0,0,0,0
"Promicromonosporaceae",0,0,0,0
"Xanthomonadaceae",0,0,0,0
"Nocardiopsaceae",0,0,0,0
"Moraxellaceae",0,0,0,0
"Helicobacteraceae",0,0,0,0
"Mycobacteriaceae",0,0,0,0
"Methylobacteriaceae",0,0,0,0
"Streptomycetaceae",0,0,0,0
"Morganellaceae",0,0,0,0
"Desulfomicrobiaceae",0,0,0,0
"Cardiobacteriaceae",0,0,0,0
"Aeromonadaceae",0,0,0,0
"Hafniaceae",0,0,0,0
"Yersiniaceae",0,0,0,0
"Oxalobacteraceae",0,0,0,0
"Staphylococcaceae",0,0,0,0
"Christensenellaceae",0,0,0,0
"Bacillaceae",0,0,0,0
"Pseudonocardiaceae",0,0,0,0
"Erwiniaceae",0,0,0,0
"Shewanellaceae",0,0,0,0
"Limnochordaceae",0,0,0,0
"Isosphaeraceae",0,0,0,0
"Acholeplasmataceae",0,0,0,0
"Metamycoplasmataceae",0,0,0,0
"Flavobacteriaceae",0,0,0,0
"Lawsonellaceae",0,0,0,0
"Debaryomycetaceae",0,0,0,0
"Dysgonomonadaceae",0,0,0,0
"Peptococcaceae",0,0,0,0
"Dermabacteraceae",0,0,0,0
"Rhodobacteraceae",0,0,0,0
"Cryptosporidiidae",0,0,0,0
"Muribaculaceae",0,0,0,0
"Sphingomonadaceae",0,0,0,0
"Caulobacteraceae",0,0,0,0
"Sphingobacteriaceae",0,0,0,0
"Rhizobiaceae",0,0,0,0
